date,spy_close,sma200,signal_pct_from_sma,spy_ret,smh_ret,vgt_ret,tqqq_ret
2010-02-11,108.12999725341797,,,,,,
2010-02-12,108.04000091552734,,,-0.0008322976063682708,0.010469117519591897,0.002326462342475466,0.004091969725583677
2010-02-16,109.73999786376953,,,0.01573488461529493,0.02225632907107511,0.014313304697279428,0.03873625340585618
2010-02-17,110.26000213623047,,,0.004738511778599408,0.0007507679512726018,0.0045766911661313525,0.016970133600670234
2010-02-18,110.91000366210938,,,0.0058951706265686354,0.005626392325160934,0.008731949161121522,0.018958039254838743
2010-02-19,111.13999938964844,,,0.0020737149034792957,0.0011190110870245018,-0.001129047032044861,0.0
2010-02-22,111.16000366210938,,,0.00017999165530668826,-0.002980623071954125,-0.0020723550594756723,-0.00702034341582547
2010-02-23,109.80999755859375,,,-0.012144710858585483,-0.024289970589340126,-0.01340386790273318,-0.03904196886464939
2010-02-24,110.81999969482422,,,0.009197724785409811,0.01761773549290102,0.009376228362121708,0.030240243616715734
2010-02-25,110.66999816894531,,,-0.0013535600639954515,-0.0015054199713259164,-0.00303317246278878,-0.0005700638346990416
2010-02-26,110.73999786376953,,,0.0006325083218792216,-0.005654033999117569,0.0011409274218847631,0.012474915309464985
2010-03-01,111.88999938964844,,,0.010384698826648053,0.02426085357686092,0.016144320028239623,0.04289413937826869
2010-03-02,112.19999694824219,,,0.0027705564419051587,-0.005181395063849625,-0.00037384033203125,0.006012326485968389
2010-03-03,112.30000305175781,,,0.0008913200199260896,-0.007068401511942768,0.000560934546627756,0.0055542647136432866
2010-03-04,112.63999938964844,,,0.003027571938122975,0.0014986514566632803,0.0046720240673114866,0.011038970150480276
2010-03-05,114.25,,,0.014293329359690299,0.011223387562545373,0.012648815595357021,0.044201872484740834
2010-03-08,114.2699966430664,,,0.00017502532224433764,-0.0033296393008364067,0.004592211724953055,0.005332413661998547
2010-03-09,114.45999908447266,,,0.0016627500392754069,-0.00519678152270564,0.0038398775725578815,0.01770202829540768
2010-03-10,114.97000122070312,,,0.004455723748993501,0.020895574225114677,0.008196665496084998,0.024470332644551007
2010-03-11,115.44999694824219,,,0.0041749649686237955,-0.009502932130179276,0.0028906928965304335,0.00920951902807654
2010-03-12,115.45999908447266,,,8.663608917158783e-05,-0.0033210387941333686,0.0,0.0022814238338733084
2010-03-15,115.48999786376953,,,0.0002598196737808589,-0.006664209687170075,-0.003242595855181163,-0.006733939857884286
2010-03-16,116.41000366210938,,,0.00796610802110398,0.030935517184727868,0.007410081941873203,0.018908621315522733
2010-03-17,117.0999984741211,,,0.005927281078132118,0.014099761091825425,0.00574093443107726,0.006934331423484874
2010-03-18,117.04000091552734,,,-0.0005123617367681632,-0.00713008417221539,0.0,0.010142362437259855
2010-03-19,116.45000122070313,,,-0.0050410089730779095,-0.012926413121024272,-0.008919015122219043,-0.01768943446064164
2010-03-22,116.58999633789062,,,0.0012021907747530314,0.018188432308585023,0.009359259267651021,0.027011924643235874
2010-03-23,117.41000366210938,,,0.007033256282488187,0.022150798295938356,0.010164045581549486,0.020914800703326186
2010-03-24,116.83999633789062,,,-0.004854844616640652,-0.022719381755054058,-0.007767033178370686,-0.01422438512234292
2010-03-25,116.6500015258789,,,-0.0016261110746894625,-0.0017882417273866746,0.0016011413281227238,-0.0062617498027138785
2010-03-26,116.58000183105469,,,-0.0006000831025165798,-0.003941261589141876,-0.000888085927852611,0.005207166385205797
2010-03-29,117.31999969482422,,,0.006347554058559135,0.00539573848904773,-0.0005333116319444775,0.01371626086345401
2010-03-30,117.4000015258789,,,0.0006819112790896753,0.0032200411495955095,0.0053361656091546195,0.010485305742535811
2010-03-31,117.0,,,-0.0034071679785347975,-0.00606276999797839,-0.006015572360831167,-0.013478870916587393
2010-04-01,117.80000305175781,,,0.00683763292100692,0.0017940163457104141,-0.00017803731178600568,-0.0019779192363704734
2010-04-05,118.76000213623047,,,0.008149397789496415,0.023638962951597398,0.013708393855518697,0.02891231810033723
2010-04-06,119.04000091552734,,,0.002357685872855564,-0.00804756972884213,0.0012293589131100457,0.007617438176816149
2010-04-07,118.36000061035156,,,-0.005712368111105093,0.00529099176408887,-0.0024556988909006927,-0.005648163752702606
2010-04-08,118.7699966430664,,,0.0034639745741855688,-0.01508773000616781,0.0001758772009552434,0.0035833140515386663
2010-04-09,119.55000305175781,,,0.006567369122990829,0.01104380011801509,0.007735559396035763,0.01801978631481438
2010-04-12,119.73999786376953,,,0.0015892497462293154,0.013037380203481552,0.004012553095967597,0.004019675278434276
2010-04-13,119.83000183105469,,,0.0007516616743852289,0.00799998407778535,0.003127720374666243,0.015078720089743536
2010-04-14,121.19000244140625,,,0.011349416586582395,0.040717747543646876,0.01784165576761021,0.0352421227995221
2010-04-15,121.29000091552734,,,0.0008251379825612304,0.009615415019712747,0.004935345878338326,0.013374756058170956
2010-04-16,119.36000061035156,,,-0.015912278758410836,-0.013464690874856022,-0.012531716737179899,-0.03559567526578311
2010-04-19,119.80999755859375,,,0.0037700816516514912,-0.0043275986735419325,-0.0008575381680699934,-0.0015733390409902182
2010-04-20,120.87999725341797,,,0.008930804746080767,0.011033096803395814,0.006522503931737811,0.014785180196671188
2010-04-21,120.66000366210938,,,-0.0018199337881137367,-0.013227500712890472,0.0039222296151137925,0.017599974668612184
2010-04-22,121.0199966430664,,,0.002983531990974786,0.013404812884881379,0.003737068535667465,0.014802748017813894
2010-04-23,121.80999755859375,,,0.006527854383084675,0.002976195544612592,0.0040616293424782235,0.013238299552361
2010-04-26,121.3499984741211,,,-0.0037763655996412293,0.0023079358720836662,-0.001348421179599768,-0.007432472601184514
2010-04-27,118.4800033569336,,,-0.023650557505359604,-0.030263160784158694,-0.020759485944916944,-0.06171774663041463
2010-04-28,119.37999725341797,,,0.007596167040720303,0.00440980563547777,0.0025852759393001357,0.0023515954913508885
2010-04-29,120.86000061035156,,,0.012397414901860637,0.014859797961475296,0.009455098316496713,0.05104123356865098
2010-04-30,118.80999755859375,,,-0.01696179911803042,-0.03527452555256938,-0.022139016088771224,-0.05892727367630701
2010-05-03,120.3499984741211,,,0.012961879868466974,0.021041759750522138,0.013758288762095505,0.040840307142040455
2010-05-04,117.5199966430664,,,-0.023514764162321344,-0.03547301117828716,-0.030063563434530427,-0.08840686387994556
2010-05-05,116.81999969482422,,,-0.005956407149740106,-0.006654943320010598,-0.006907534466391696,-0.016432641224669364
