date,signal_pct_from_sma,mode,allocation_SMH,allocation_VGT,allocation_TECL,spy_ret,smh_ret,vgt_ret,tecl_ret,strategy_ret,strategy_equity,spy_equity
2020-05-07,-4.04769046280598,B,50,50,0,0.0120667925471027,0.0090875223350497,0.0179981512156996,0.0482191230743767,0.01354283677537465,0.9091629732237793,0.8552685603742685
2020-05-08,-2.445402478973329,B,50,50,0,0.0165464761621203,0.0255158740203857,0.0148137166841035,0.0420317617492389,0.0201647953522446,0.927496058520675,0.8694202412207123
2020-05-11,-2.413180301101464,B,50,50,0,0.0002051359596184,0.0005123355711076,0.0068812466881176,0.0210640781596582,0.0036967911296126,0.9309248177225649,0.8695985905762068
2020-05-12,-4.333759169636196,B,50,50,0,-0.0199314484747291,-0.0275014938847153,-0.0214901536281681,-0.0649072629680476,-0.0244958237564417,0.9081210474571353,0.8522662310744401
2020-05-13,-5.994547985355492,B,50,50,0,-0.0176860635986766,-0.0177497374970462,-0.0177634922514268,-0.0523381073292176,-0.0177566148742365,0.8919958917582507,0.8371929963086531
2020-05-14,-4.84454017740471,B,50,50,0,0.0119674304243013,0.0280243250100717,0.0120428241043537,0.0411741520277075,0.020033574557212698,0.9098657579605169,0.8472120452436893
2020-05-15,-4.389315121825567,B,50,50,0,0.0045968077245195,-0.0227914910099872,0.0058887855088349,0.0114175537278302,-0.008451352750576149,0.9021761614843222,0.8511065161175715
2020-05-18,-1.4773061372582523,B,50,50,0,0.0304598932118445,0.0430639005846198,0.0241037291267394,0.0754349716498288,0.0335838148556796,0.9324746786588193,0.8770311297104177
2020-05-19,-2.488192284630019,B,50,50,0,-0.0102715491862167,-0.0037266809060862,-0.0030355825075616,-0.0117542313189126,-0.0033811317068239,0.9293218589569956,0.868022661323754
2020-05-20,-0.853365468909432,B,50,50,0,0.0169882037133559,0.0362330918529494,0.0228961274518688,0.0636200562430653,0.0295646096524091,0.9567968969585104,0.8827688071221313
2020-05-21,-1.5495053348974348,B,50,50,0,-0.0069039294001131,-0.0253397333156382,-0.0123710836646538,-0.0371893515475149,-0.018855408490146,0.9387561006242536,0.8766742336011382
2020-05-22,-1.374839491796369,B,50,50,0,0.0018988350749267,0.0021058224363068,0.0048932031336133,0.0083737293621259,0.00349951278496005,0.9420412896003474,0.8783388933851846
2020-05-26,-0.1688210143269178,B,50,50,0,0.0123209464630009,0.0086239801435115,0.0007009913365056,0.0001069147236594,0.004662485740008549,0.9464335436796083,0.8891608598669549
2020-05-27,1.296432309310377,B,0,50,50,0.0148787851878162,0.01508839643035,0.0055662797531443,0.0144634261137492,0.01032733809174715,0.956207682866558,0.9023904932983293
2020-05-28,1.0844131603604186,B,0,50,50,-0.0018449409592643,-0.0213759304366774,-0.0020126845820686,-0.0076037471992557,-0.00480821589066215,0.9516100298910257,0.9007256361159924
2020-05-29,1.5149033991099985,B,0,50,50,0.0044558541271,0.0200346406700524,0.012489626645656,0.0357028849044802,0.0240962557750681,0.9745402685694001,0.9047391381590647
2020-06-01,1.8884077487729305,B,0,50,50,0.0040417226123083,-0.0014890470099137,0.0032179907550204,0.0013871427803282,0.0023025667676743,0.9767842126055685,0.9083958427920026
2020-06-02,2.691942415914153,B,0,50,50,0.0082801616961032,0.019670427728738,0.0089356176018218,0.0286268410754226,0.0187812293386222,0.9951294209168592,0.9159175072543884
2020-06-03,4.018147512276552,B,0,50,50,0.013308450862526,0.0275786108691258,0.0093110208359055,0.0229927237127915,0.0161518722743485,1.0112026242199548,0.9281069503938107
2020-06-04,3.712040894469624,B,0,50,50,-0.0026266048194939,0.0110470518763889,-0.0098246548275686,-0.0249134421196411,-0.01736904847360485,0.993638996823242,0.9256691802049005
2020-06-05,6.318339132760414,B,0,50,50,0.0256293652794978,0.0235956251297722,0.0241616854500221,0.0773998221755942,0.05078075381280815,1.0440967340997287,0.9493934937523453
2020-06-08,7.548407836298419,B,0,50,50,0.0120873494461259,-0.0030124570824942,0.0061382464725205,0.0175887782465287,0.0118635123595246,1.05648338860926,0.9608691446732083
2020-06-09,6.695982873148405,B,0,50,50,-0.0074566522319624,0.0018393774056466,0.0022422696962689,0.0126327082643347,0.0074374889803018,1.064340972169913,0.953704277620957
2020-06-10,6.040396629773712,B,0,50,50,-0.0055797832105817,0.005114075393235,0.0148880620660944,0.0528734727020256,0.03388076738406,1.1004016610653262,0.9483828145048276
2020-06-11,-0.0936598737997706,B,50,50,0,-0.0576492963499699,-0.0613829819213168,-0.0569806368639226,-0.1732398110805961,-0.11511022397225935,0.9737341794006503,0.8937092125782202
2020-06-12,1.073661819419498,B,0,50,50,0.0119758587714495,0.014107945832285,0.012299158037422,0.0349753074269396,0.013203551934853501,0.9865909292091087,0.9044121478908004
2020-06-15,1.9864820863657908,B,0,50,50,0.0093356962315962,0.012952321708197,0.0124528057556123,0.0292440102416997,0.020848407998655998,1.0071597794290332,0.9128554649716744
2020-06-16,3.914315627542368,B,0,50,50,0.0192476507127519,0.0156280868873204,0.0210473990043116,0.0681432817888427,0.04459534039657715,1.0520744126264125,0.9304257881126758
2020-06-17,3.4496791798540003,B,0,50,50,-0.0041539689450007,0.0105917841755851,-0.0007687253131328,-0.0016824232333612,-0.001225574273247,1.0507850172927562,0.9265608282832279
2020-06-18,3.453384233347765,B,0,50,50,0.0003851836796737,-0.0013844304341712,0.0054592681963749,0.0145297152502326,0.00999449172330375,1.0612870794510603,0.9269177243925076
2020-06-19,2.386688706349816,B,0,50,50,-0.0057147298922571,-0.0046863910273496,-0.006632601697341,-0.0215050014092087,-0.01406880155327485,1.0463560421392086,0.9216206399652589
2020-06-22,3.0216449407248063,B,0,50,50,0.0064149794874013,0.0091517384553858,0.0185178352717001,0.056205698271889,0.03736176677179455,1.0854497525458717,0.9275328174658017
2020-06-23,3.47190026282748,B,0,50,50,0.0046035270580917,0.0032858234523958,0.0065718860289216,0.0217636129481102,0.0141677494885159,1.1008281327223133,0.9318027398882737
2020-06-24,0.8226204014683696,B,50,0,50,-0.0255085379593911,-0.0209601282392116,-0.0226004760440511,-0.0685771068551591,-0.0455887914496051,1.0506427085577774,0.908033814327169
2020-06-25,1.887920340626097,B,0,50,50,0.0107205236685976,0.0068240604441605,0.0132868389322522,0.038159533731559,0.02249179708785975,1.0742735511704984,0.9177684123255504
2020-06-26,-0.5317390607519303,B,50,50,0,-0.0237515225334957,-0.0187387825747294,-0.0184731798631668,-0.057421887839886,-0.0379475338515264,1.0335075192216565,0.8959700151996696
2020-06-29,0.9248990586620818,B,50,0,50,0.0146978520871106,0.0101577523464888,0.010185182473243,0.0285011465321567,0.0101714674098659,1.044019807271271,0.9091388499575606
2020-06-30,2.205385755221633,B,0,50,50,0.0128091707357109,0.0243345951900677,0.018155835636977,0.0562382211305265,0.0402864081602971,1.086079615354436,0.9207841647091348
2020-07-01,2.903647723110967,B,0,50,50,0.0070048871280616,-0.0114528618785354,0.002368004454204,0.0029198438006174,0.0026439241274107,1.0889511274537607,0.9272341538522288
2020-07-02,3.450947372514995,B,0,50,50,0.0055071285471759,0.0152929715716436,0.0054765326603871,0.0180674869698611,0.0117720098151241,1.1017702708143369,0.932340551530825
2020-07-06,5.020196867043876,B,0,50,50,0.0154372807604425,0.0275820515772686,0.0158063241571302,0.0530721626940358,0.034439243425583,1.1397144053699821,0.9467333543891522
2020-07-07,3.915182555014579,B,0,50,50,-0.0103137859197447,-0.0124373230026112,-0.0091816162955776,-0.029831138801752,-0.0195063775486648,1.1174827058811834,0.9369689492489006
2020-07-08,4.678966850542883,B,0,50,50,0.0076486472080699,0.0143289610770591,0.0173671451908699,0.0450315691810117,0.0311993571859408,1.152347447971082,0.9441354941866215
